COUNTY,CATEGORY,VARIABLE,Year,Value
15-County Region,Employment,Industrial Employment,2020,271473
10-County Region,Employment,Industrial Employment,2020,247237
Delaware,Employment,Industrial Employment,2020,17983
Fairfield,Employment,Industrial Employment,2020,11631
Fayette,Employment,Industrial Employment,2020,4383
Franklin,Employment,Industrial Employment,2020,152138
Hocking,Employment,Industrial Employment,2020,1851
Knox,Employment,Industrial Employment,2020,7521
Licking,Employment,Industrial Employment,2020,18071
Logan,Employment,Industrial Employment,2020,8351
Madison,Employment,Industrial Employment,2020,9127
Marion,Employment,Industrial Employment,2020,8908
Morrow,Employment,Industrial Employment,2020,1939
Perry,Employment,Industrial Employment,2020,1822
Pickaway,Employment,Industrial Employment,2020,4949
Ross,Employment,Industrial Employment,2020,7829
Union,Employment,Industrial Employment,2020,14970
15-County Region,Employment,Office Employment,2020,519085
10-County Region,Employment,Office Employment,2020,496438
Delaware,Employment,Office Employment,2020,45294
Fairfield,Employment,Office Employment,2020,14629
Fayette,Employment,Office Employment,2020,2972
Franklin,Employment,Office Employment,2020,374910
Hocking,Employment,Office Employment,2020,2109
Knox,Employment,Office Employment,2020,5707
Licking,Employment,Office Employment,2020,23241
Logan,Employment,Office Employment,2020,5201
Madison,Employment,Office Employment,2020,5037
Marion,Employment,Office Employment,2020,7759
Morrow,Employment,Office Employment,2020,1943
Perry,Employment,Office Employment,2020,2328
Pickaway,Employment,Office Employment,2020,5248
Ross,Employment,Office Employment,2020,10037
Union,Employment,Office Employment,2020,12670
15-County Region,Employment,Other Employment,2020,208181
10-County Region,Employment,Other Employment,2020,194454
Delaware,Employment,Other Employment,2020,11835
Fairfield,Employment,Other Employment,2020,8328
Fayette,Employment,Other Employment,2020,1721
Franklin,Employment,Other Employment,2020,143647
Hocking,Employment,Other Employment,2020,1410
Knox,Employment,Other Employment,2020,5376
Licking,Employment,Other Employment,2020,11009
Logan,Employment,Other Employment,2020,3063
Madison,Employment,Other Employment,2020,1987
Marion,Employment,Other Employment,2020,4508
Morrow,Employment,Other Employment,2020,1230
Perry,Employment,Other Employment,2020,1328
Pickaway,Employment,Other Employment,2020,2554
Ross,Employment,Other Employment,2020,6205
Union,Employment,Other Employment,2020,3980
15-County Region,Employment,Retail Goods Employment,2020,121332
10-County Region,Employment,Retail Goods Employment,2020,110543
Delaware,Employment,Retail Goods Employment,2020,14066
Fairfield,Employment,Retail Goods Employment,2020,7878
Fayette,Employment,Retail Goods Employment,2020,2435
Franklin,Employment,Retail Goods Employment,2020,66029
Hocking,Employment,Retail Goods Employment,2020,1109
Knox,Employment,Retail Goods Employment,2020,2530
